ModelFeature,RunTime
LC-(i)+(iv),3.44
LC-(iv),3.51
LC-(i)+(iii),3.52
LC-(ii)+(iii),3.52
LC-(i),3.56
LC-(iii),3.58
LC-(ii),3.6
LC-(i)+(ii),3.78
LC-(ii)+(iv),3.79
LC-(iii)+(iv),3.79
LC-(i)+(ii)+(iii),4.14
NB-(iii)+(iv),4.18
NB-(ii),4.21
NB-(iii),4.22
NB-(ii)+(iii),4.22
NB-(i)+(iii),4.25
LC-(i)+(iii)+(iv),4.25
NB-(i)+(iv),4.26
NB-(i),4.32
NB-(iv),4.34
NB-(i)+(ii),4.36
LC-(ii)+(iii)+(iv),4.36
LC-(i)+(ii)+(iv),4.86
NB-(ii)+(iv),4.88
NB-(i)+(iii)+(iv),5.46
NB-(i)+(ii)+(iv),5.83
NB-(ii)+(iii)+(iv),5.88
LC-(i)+(ii)+(iii)+(iv),5.89
NB-(i)+(ii)+(iii),5.91
NB-(i)+(ii)+(iii)+(iv),6.24
XGB-(ii)+(iv),14.33
XGB-(iii)+(iv),14.39
XGB-(i)+(iii),14.46
XGB-(i)+(ii),14.71
XGB-(i)+(iv),14.73
XGB-(iv),14.75
XGB-(ii)+(iii),14.79
XGB-(ii),14.81
XGB-(iii),14.83
XGB-(i),14.85
XGB-(i)+(ii)+(iii),15.31
XGB-(i)+(ii)+(iv),15.35
XGB-(i)+(ii)+(iii)+(iv),15.51
XGB-(i)+(iii)+(iv),15.58
XGB-(ii)+(iii)+(iv),15.59
SVM-(i),18.12
SVM-(ii)+(iii),18.27
SVM-(i)+(iii),18.28
SVM-(i)+(iv),18.31
SVM-(iv),18.32
SVM-(ii),18.32
SVM-(ii)+(iv),18.38
SVM-(iii)+(iv),18.43
SVM-(iii),18.48
SVM-(i)+(ii),18.65
SVM-(i)+(iii)+(iv),19.15
SVM-(ii)+(iii)+(iv),19.17
SNN-(ii)+(iii)+(iv),19.17
SVM-(i)+(ii)+(iv),19.18
SNN-(ii),19.2
SNN-(i),19.21
SNN-(i)+(iii),19.21
SNN-(i)+(ii),19.22
SNN-(i)+(iv),19.23
SNN-(iii),19.25
SNN-(ii)+(iv),19.25
SNN-(iv),19.29
SNN-(ii)+(iii),19.29
SVM-(i)+(ii)+(iii),19.54
SNN-(iii)+(iv),19.72
SNN-(i)+(iii)+(iv),20.44
SVM-(i)+(ii)+(iii)+(iv),20.5
SNN-(i)+(ii)+(iii),20.75
SNN-(i)+(ii)+(iv),20.76
SNN-(i)+(ii)+(iii)+(iv),21.85
CNN-GV,35.23
CNN-FT,35.28
CNN-W2V,35.81
RNN_GRU-W2V,36.17
RNN_GRU-FT,36.19
RNN_GRU-GV,36.28
RCNN-W2V,37.25
RCNN-GV,37.66
RCNN-FT,37.85
Bi_RNN-GV,41.14
Bi_RNN-W2V,41.19
Bi_RNN-FT,41.54
RNN_LSTM-W2V,42.16
RNN_LSTM-FT,42.38
RNN_LSTM-GV,42.49
